instance_id,label
0,benign
1,benign
2,benign
3,malicious
4,benign
5,malicious
6,benign
7,benign
8,malicious
9,benign
10,benign
11,malicious
12,benign
13,malicious
14,benign
15,benign
16,benign
17,benign
18,benign
19,benign
20,benign
21,benign
22,malicious
23,benign
24,benign
25,benign
26,benign
27,benign
28,benign
29,benign
30,benign
31,benign
32,benign
33,benign
34,malicious
35,malicious
36,benign
37,benign
38,benign
39,benign
40,benign
41,benign
42,benign
43,malicious
44,benign
45,benign
46,benign
47,malicious
48,benign
49,benign
50,benign
51,benign
52,benign
53,benign
54,benign
55,malicious
56,benign
57,benign
58,benign
59,benign
60,benign
61,benign
62,benign
63,benign
64,benign
65,benign
66,malicious
67,benign
68,benign
69,benign
70,benign
71,benign
72,benign
73,benign
74,benign
75,malicious
76,benign
77,benign
78,benign
79,benign
80,malicious
81,malicious
82,benign
83,benign
84,benign
85,benign
86,benign
87,benign
88,benign
89,benign
90,benign
91,benign
92,malicious
93,benign
94,benign
95,malicious
96,malicious
97,benign
98,benign
99,benign
100,benign
101,benign
102,malicious
103,benign
104,benign
105,malicious
106,benign
107,malicious
108,benign
109,benign
110,benign
111,malicious
112,benign
113,benign
114,benign
115,benign
116,malicious
117,malicious
118,benign
119,benign
120,benign
121,benign
122,benign
123,benign
124,benign
125,malicious
126,malicious
127,benign
128,benign
129,malicious
130,benign
131,benign
132,malicious
133,benign
134,benign
135,malicious
136,benign
137,benign
138,benign
139,benign
140,benign
141,benign
142,benign
143,benign
144,benign
145,benign
146,benign
147,benign
148,benign
149,benign
150,benign
151,benign
152,malicious
153,benign
154,malicious
155,benign
156,benign
157,benign
158,benign
159,malicious
160,benign
161,benign
162,benign
163,benign
164,benign
165,benign
166,benign
167,benign
168,benign
169,benign
170,benign
171,benign
172,benign
173,malicious
174,benign
175,benign
176,malicious
177,benign
178,malicious
179,benign
180,benign
181,benign
182,benign
183,benign
184,benign
185,benign
186,benign
187,benign
188,malicious
189,benign
190,benign
191,benign
192,benign
193,benign
194,malicious
195,benign
196,malicious
197,benign
198,benign
199,benign
200,benign
201,benign
202,benign
203,benign
204,benign
205,benign
206,benign
207,benign
208,benign
209,benign
210,malicious
211,benign
212,benign
213,benign
214,benign
215,malicious
216,benign
217,benign
218,benign
219,benign
220,benign
221,benign
222,malicious
223,benign
224,malicious
225,benign
226,benign
227,malicious
228,benign
229,benign
230,malicious
231,benign
232,benign
233,benign
234,benign
235,benign
236,benign
237,benign
238,malicious
239,benign
240,benign
241,malicious
242,benign
243,malicious
244,benign
245,benign
246,malicious
247,malicious
248,benign
249,malicious
250,benign
251,benign
