instance_id,label,family
0,benign,B_0
1,benign,B_0
2,benign,B_1
3,malicious,M_0
4,benign,B_0
5,malicious,M_0
6,benign,B_0
7,benign,B_0
8,malicious,M_0
9,benign,B_0
10,benign,B_0
11,malicious,M_0
12,benign,B_0
13,malicious,M_0
14,benign,B_2
15,benign,B_0
16,benign,B_0
17,benign,B_0
18,benign,B_2
19,benign,B_1
20,benign,B_1
21,benign,B_0
22,malicious,M_0
23,benign,B_0
24,benign,B_0
25,benign,B_0
26,benign,B_0
27,benign,B_0
28,benign,B_0
29,benign,B_0
30,benign,B_0
31,benign,B_1
32,benign,B_0
33,benign,B_0
34,malicious,M_0
35,malicious,M_0
36,benign,B_0
37,benign,B_0
38,benign,B_0
39,benign,B_0
40,benign,B_0
41,benign,B_0
42,benign,B_1
43,malicious,M_0
44,benign,B_1
45,benign,B_1
46,benign,B_0
47,malicious,M_3
48,benign,B_0
49,benign,B_2
50,benign,B_0
51,benign,B_0
52,benign,B_2
53,benign,B_0
54,benign,B_0
55,malicious,M_0
56,benign,B_0
57,benign,B_2
58,benign,B_0
59,benign,B_0
60,benign,B_0
61,benign,B_0
62,benign,B_0
63,benign,B_2
64,benign,B_0
65,benign,B_0
66,malicious,M_0
67,benign,B_0
68,benign,B_0
69,benign,B_0
70,benign,B_1
71,benign,B_0
72,benign,B_0
73,benign,B_0
74,benign,B_0
75,malicious,M_0
76,benign,B_0
77,benign,B_0
78,benign,B_0
79,benign,B_0
80,malicious,M_0
81,malicious,M_0
82,benign,B_0
83,benign,B_0
84,benign,B_0
85,benign,B_0
86,benign,B_0
87,benign,B_0
88,benign,B_0
89,benign,B_0
90,benign,B_0
91,benign,B_0
92,malicious,M_0
93,benign,B_0
94,benign,B_0
95,malicious,M_0
96,malicious,M_0
97,benign,B_1
98,benign,B_0
99,benign,B_0
100,benign,B_0
101,benign,B_2
102,malicious,M_0
103,benign,B_0
104,benign,B_0
105,malicious,M_0
106,benign,B_0
107,malicious,M_0
108,benign,B_0
109,benign,B_0
110,benign,B_0
111,malicious,M_0
112,benign,B_0
113,benign,B_2
114,benign,B_0
115,benign,B_0
116,malicious,M_0
117,malicious,M_0
118,benign,B_0
119,benign,B_0
120,benign,B_2
121,benign,B_1
122,benign,B_0
123,benign,B_1
124,benign,B_1
125,malicious,M_0
126,malicious,M_0
127,benign,B_0
128,benign,B_0
129,malicious,M_0
130,benign,B_0
131,benign,B_0
132,malicious,M_0
133,benign,B_0
134,benign,B_0
135,malicious,M_0
136,benign,B_0
137,benign,B_0
138,benign,B_0
139,benign,B_0
140,benign,B_1
141,benign,B_1
142,benign,B_0
143,benign,B_0
144,benign,B_0
145,benign,B_0
146,benign,B_1
147,benign,B_0
148,benign,B_0
149,benign,B_0
150,benign,B_0
151,benign,B_0
152,malicious,M_0
153,benign,B_0
154,malicious,M_0
155,benign,B_0
156,benign,B_0
157,benign,B_1
158,benign,B_2
159,malicious,M_0
160,benign,B_0
161,benign,B_0
162,benign,B_0
163,benign,B_0
164,benign,B_0
165,benign,B_0
166,benign,B_1
167,benign,B_0
168,benign,B_0
169,benign,B_0
170,benign,B_0
171,benign,B_0
172,benign,B_1
173,malicious,M_0
174,benign,B_0
175,benign,B_0
176,malicious,M_0
177,benign,B_0
178,malicious,M_0
179,benign,B_0
180,benign,B_0
181,benign,B_0
182,benign,B_0
183,benign,B_0
184,benign,B_0
185,benign,B_0
186,benign,B_0
187,benign,B_0
188,malicious,M_0
189,benign,B_0
190,benign,B_1
191,benign,B_0
192,benign,B_0
193,benign,B_0
194,malicious,M_0
195,benign,B_1
196,malicious,M_1
197,benign,B_1
198,benign,B_0
199,benign,B_0
200,benign,B_0
201,benign,B_0
202,benign,B_0
203,benign,B_0
204,benign,B_0
205,benign,B_0
206,benign,B_0
207,benign,B_0
208,benign,B_0
209,benign,B_0
210,malicious,M_0
211,benign,B_0
212,benign,B_0
213,benign,B_1
214,benign,B_0
215,malicious,M_0
216,benign,B_0
217,benign,B_0
218,benign,B_1
219,benign,B_0
220,benign,B_0
221,benign,B_0
222,malicious,M_0
223,benign,B_0
224,malicious,M_0
225,benign,B_0
226,benign,B_0
227,malicious,M_1
228,benign,B_0
229,benign,B_2
230,malicious,M_0
231,benign,B_0
232,benign,B_0
233,benign,B_0
234,benign,B_2
235,benign,B_0
236,benign,B_0
237,benign,B_0
238,malicious,M_0
239,benign,B_0
240,benign,B_0
241,malicious,M_0
242,benign,B_0
243,malicious,M_0
244,benign,B_0
